zpid,price,bedrooms,bathrooms,livingArea,lotAreaValue,yearBuilt,homeType,latitude,longitude,city,zipcode,zestimate,rentZestimate,daysOnZillow,has_zestimate,has_rent_zestimate
351191118,606900,4.0,3.0,3399.0,6050.484,2024.0,SINGLE_FAMILY,29.51271,-95.72244,Richmond,77469,376400.0,2400.0,65,0,0
351191120,601900,4.0,3.0,3014.0,6050.484,2024.0,SINGLE_FAMILY,29.51271,-95.72244,Richmond,77469,376400.0,2400.0,22,0,0
350773905,314990,4.0,2.0,1680.0,6050.484,2024.0,SINGLE_FAMILY,29.506746,-95.76597,Rosenberg,77469,308900.0,1999.0,12,1,1
343024108,477900,4.0,3.0,2663.0,6050.484,2024.0,SINGLE_FAMILY,29.50909,-95.722244,Richmond,77469,467600.0,2645.0,32,1,1
350737059,355000,4.0,3.0,2289.0,6050.484,2024.0,SINGLE_FAMILY,29.488487,-95.7664,Richmond,77469,348000.0,2500.0,12,1,1
2058517068,302990,3.0,2.0,1575.0,6050.484,2024.0,SINGLE_FAMILY,29.49276,-95.75883,Richmond,77469,298600.0,2112.0,38,1,1
351191113,601900,4.0,3.0,3568.0,6050.484,2024.0,SINGLE_FAMILY,29.51271,-95.72244,Richmond,77469,376400.0,2400.0,36,0,0
2053026394,400490,4.0,3.0,2316.0,6050.484,2024.0,SINGLE_FAMILY,29.553593,-95.75854,Richmond,77469,389300.0,2600.0,48,1,1
349480180,341990,4.0,2.0,1680.0,6050.484,2024.0,SINGLE_FAMILY,29.506746,-95.76597,Rosenberg,77469,335500.0,1999.0,12,1,1
176585611,565000,0.0,0.0,0.0,2.009,2001.5,LOT,29.521772,-95.71739,Richmond,77469,376400.0,2499.0,62,0,1
176585678,534888,0.0,0.0,0.0,1.4583,2001.5,LOT,29.519777,-95.71324,Richmond,77469,376400.0,2400.0,72,0,1
2053097389,414320,4.0,3.0,2267.0,6050.484,2024.0,SINGLE_FAMILY,29.55386,-95.75883,Richmond,77469,401100.0,2663.0,92,1,1
351127255,524900,4.0,3.0,2476.0,6050.484,2024.0,SINGLE_FAMILY,29.509912,-95.72368,Richmond,77469,376400.0,2400.0,7,0,0
351064959,335000,3.0,2.0,2086.0,6050.484,2024.0,SINGLE_FAMILY,29.488487,-95.7664,Richmond,77469,331200.0,2400.0,7,1,0
341766132,400640,4.0,3.0,2267.0,6050.484,2024.0,SINGLE_FAMILY,29.553764,-95.75965,Richmond,77469,393500.0,2661.0,11,1,1
2052868029,408490,4.0,3.0,2316.0,6050.484,2024.0,SINGLE_FAMILY,29.554829,-95.76075,Richmond,77469,397000.0,2600.0,48,1,1
349957048,320000,3.0,2.0,1801.0,6050.484,2024.0,SINGLE_FAMILY,29.50602,-95.73451,Rosenberg,77469,312300.0,2194.0,20,1,1
2053931961,378990,4.0,3.0,2636.0,6050.484,2024.0,SINGLE_FAMILY,29.512796,-95.80089,Richmond,77469,369900.0,2600.0,40,1,1
27528240,400000,0.0,0.0,0.0,2.0,2001.5,LOT,29.515585,-95.61853,Richmond,77469,376400.0,3200.0,158,0,1
351431769,380000,4.0,4.0,2731.0,6050.484,2024.0,SINGLE_FAMILY,29.508354,-95.73008,Rosenberg,77469,376400.0,2400.0,3,0,0
341766141,413940,4.0,3.0,2316.0,6050.484,2024.0,SINGLE_FAMILY,29.553616,-95.75933,Richmond,77469,406600.0,2600.0,11,1,1
2053577418,562500,0.0,0.0,0.0,2.25,2001.5,LOT,29.515497,-95.61754,Richmond,77469,376400.0,3124.0,158,0,1
2066674469,15500000,0.0,0.0,0.0,47.89,2001.5,LOT,29.534506,-95.70365,Richmond,77469,376400.0,2250.0,167,0,1
27916711,229000,3.0,2.0,2011.0,0.2961,1978.0,SINGLE_FAMILY,29.943874,-95.29853,Humble,77396,376400.0,1994.0,175,0,1
2054170806,336990,3.0,2.0,1666.0,6050.484,2024.0,SINGLE_FAMILY,29.556465,-95.76387,Richmond,77469,328900.0,1900.0,37,1,1
2053079487,459051,4.0,3.0,2337.0,6050.484,2023.0,SINGLE_FAMILY,29.491898,-95.77329,Richmond,77469,445200.0,2517.0,131,1,1
350887957,411890,4.0,3.0,2316.0,6050.484,2024.0,SINGLE_FAMILY,29.55401,-95.760185,Richmond,77469,404600.0,2600.0,11,1,1
347949304,415000,4.0,4.0,2548.0,6050.484,2024.0,SINGLE_FAMILY,29.508303,-95.730354,Rosenberg,77469,404300.0,2599.0,29,1,1
351207414,519594,4.0,4.0,2877.0,6050.484,2024.0,SINGLE_FAMILY,29.49139,-95.77772,Richmond,77469,376400.0,2400.0,5,0,0
350762667,311990,3.0,2.0,1409.0,6050.484,2024.0,SINGLE_FAMILY,29.506746,-95.76597,Rosenberg,77469,306200.0,1849.0,12,1,1
2054170812,387990,4.0,3.0,2316.0,6050.484,2024.0,SINGLE_FAMILY,29.556465,-95.76387,Richmond,77469,385000.0,2600.0,9,1,1
348588502,406990,4.0,3.0,2604.0,6050.484,2024.0,SINGLE_FAMILY,29.52839,-95.76655,Rosenberg,77469,402000.0,2625.0,39,1,1
341766133,410090,4.0,3.0,2267.0,6050.484,2024.0,SINGLE_FAMILY,29.55368,-95.75918,Richmond,77469,402800.0,2661.0,11,1,1
351191117,583900,4.0,3.0,3118.0,6050.484,2024.0,SINGLE_FAMILY,29.51271,-95.72244,Richmond,77469,376400.0,2400.0,12,0,0
2055958752,321990,3.0,2.0,1702.0,6050.484,2024.0,SINGLE_FAMILY,29.493887,-95.77486,Richmond,77469,316800.0,2199.0,23,1,1
2054102277,401790,4.0,3.0,2757.0,6050.484,2024.0,SINGLE_FAMILY,29.555536,-95.76062,Richmond,77469,388100.0,2795.0,182,1,1
343023848,461900,4.0,3.0,2420.0,6050.484,2024.0,SINGLE_FAMILY,29.50909,-95.722244,Richmond,77469,459600.0,2500.0,5,1,1
28040567,259999,3.0,2.0,1534.0,6930.396,1965.0,SINGLE_FAMILY,29.935696,-95.27796,Humble,77396,245700.0,1650.0,75,1,1
349959429,391010,4.0,4.0,2731.0,6050.484,2024.0,SINGLE_FAMILY,29.508354,-95.73008,Rosenberg,77469,381500.0,2695.0,20,1,1
28297125,209900,3.0,2.0,1391.0,7278.876,1980.0,SINGLE_FAMILY,29.959236,-95.28002,Humble,77396,201300.0,1695.0,25,1,1
347523611,380000,3.0,3.0,2386.0,6050.484,2024.0,SINGLE_FAMILY,29.508774,-95.73106,Rosenberg,77469,370300.0,2500.0,30,1,1
349480170,329990,4.0,2.0,2031.0,6050.484,2024.0,SINGLE_FAMILY,29.506746,-95.76597,Rosenberg,77469,323500.0,2350.0,12,1,1
351191124,598900,4.0,5.0,3080.0,6050.484,2024.0,SINGLE_FAMILY,29.51271,-95.72244,Richmond,77469,376400.0,2400.0,36,0,0
2053938196,374980,3.0,2.0,1800.0,6050.484,2024.0,SINGLE_FAMILY,29.492916,-95.77376,Richmond,77469,371000.0,2100.0,7,1,1
